Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
5914P01|2015P01431|1594D*1|||||000001|01/01/2001|Vente|1,00|1|B|PL|8934|VANHOENACKER|59000|LILLE|59|350||MR|107||11||4||||||||2|2|Appartement|894264|18|1|||
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|1||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|77||||||||||||0|1|Maison|392871|36|2|S||19
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|2||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|78||||||||||||0|1|Maison|392872|36|2|S||19
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|3||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|79||||||||||||0|1|Maison|392873|48|2|S||19
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|4||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|80||||||||||||0|2|Appartement|1007019|15|1|S||19
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|4||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|80||||||||||||0|2|Appartement|1007020|30|2|S||19
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|128||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|81||||||||||||0|2|Appartement|1097656|12|1|S||19
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|128||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|81||||||||||||0|2|Appartement|1097657|12|1|S||19
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|128||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|82||||||||||||0||||||S||152
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|10||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|84||||||||||||0|1|Maison|392882|36|2|S||17
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|9||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|85||||||||||||0|1|Maison|392883|36|2|S||18
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|8||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|86||||||||||||0|1|Maison|392884|26|1|S||17
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|7||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|87||||||||||||0|1|Maison|392885|26|1|S||17
5914P01|2015P01433|1594D*1|||||000001|01/01/2001|Vente|1,00|6||CITE|8959|VANTORHOUDT RUE LAFARGUE|59000|LILLE|59|350||MV|88||||||||||||0|1|Maison|392886|26|1|S||18
5914P01|2015P01436|1594D*1|||||000001|01/01/2001|Vente|1,00|259|B|RUE|0700|DU GENERAL DE GAULLE|59110|LA MADELEINE|59|368||AC|1281||||||||||||0|4|Local industriel. commercial ou assimilé|912676|106|0|S||113
5914P01|2015P01437|1594D*1|||||000001|01/01/2001|Vente|1,00|3||RUE|0870|JOSEPHINE|59110|LA MADELEINE|59|368||AP|134||||||||||||0|1|Maison|493531|85|4|S||53
5914P01|2015P01438|1594D*1|||||000001|01/01/2001|Vente|1,00|62||RUE|0156|DE DORMAGEN|59350|SAINT-ANDRE|59|527||BA|35||||||||||||0|1|Maison|876195|81|4|S||152
5914P01|2015P01440|1594D*1|||||000001|01/01/2001|Vente|1,00|86||AV|0650|DU MARECHAL DE LATTRE|59350|SAINT-ANDRE|59|527||AV|335||||||||||||0|1|Maison|642140|90|4|S||182
5914P01|2015P01443|1594D*1|||||000001|01/01/2001|Vente|1,00|2||SQ|0010|DES ACACIAS|59350|SAINT-ANDRE|59|527||AB|60||||||||||||0|1|Maison|644221|94|5|S||160
5914P01|2015P01444|1594D*1|||||000001|01/01/2001|Vente|1,00|70|B|RUE|0410|DU GENERAL LECLERC|59350|SAINT-ANDRE|59|527||AY|83||474||||||||||1|3|Dépendance|970294|0|0|||
5914P01|2015P01444|1594D*1|||||000001|01/01/2001|Vente|1,00|70|B|RUE|0410|DU GENERAL LECLERC|59350|SAINT-ANDRE|59|527||AY|83||324||||||||||1|2|Appartement|970207|75|3|||
5914P01|2015P01445|1594D*1|||||000001|01/01/2001|Vente|1,00|8|||0512|LE HAMEAU DU MESNIL|59520|MARQUETTE-LEZ-LILLE|59|386||B|3988||||||||||||0|1|Maison|1001876|116|5|S||354
5914P01|2015P01446|1594D*1|||||000001|01/01/2001|Vente|1,00|105||BD|5603|DE LA LIBERTE|59800|LILLE|59|350||NY|150||2||68||||||||2|2|Appartement|896066|224|0|||
5914P01|2015P01446|1594D*1|||||000001|01/01/2001|Vente|1,00|105||BD|5603|DE LA LIBERTE|59800|LILLE|59|350||NY|150||104||||||||||1|4|Local industriel. commercial ou assimilé|911552|10|0|||
5914P01|2015P01446|1594D*1|||||000001|01/01/2001|Vente|1,00|105||BD|5603|DE LA LIBERTE|59800|LILLE|59|350||NY|150||105||||||||||1|4|Local industriel. commercial ou assimilé|911553|10|0|||
5914P01|2015P01447|1594D*1|||||000001|01/01/2001|Vente|1,00|17||RUE|0020|ADOLPHE PARENT|59350|SAINT-ANDRE|59|527||AX|103||||||||||||0|1|Maison|643334|52|3|S||40
5914P01|2015P01448|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00||||B013|LES PERISEAUX|59155|FACHES THUMESNIL|59|220||B|4257||38||||||||||1|2|Appartement|1217115|41|2|||
5914P01|2015P01448|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00||||B013|LES PERISEAUX|59155|FACHES THUMESNIL|59|220||B|4257||92||||||||||1|3|Dépendance|1217116|0|0|||
5914P01|2015P01453|1594D*1|||||000001|01/01/2001|Vente|1,00|270||RUE|0410|DU GENERAL LECLERC|59350|SAINT-ANDRE|59|527||BD|129|2|||||||||||0||||||||
5914P01|2015P01453|1594D*1|||||000001|01/01/2001|Vente|1,00|270||RUE|0410|DU GENERAL LECLERC|59350|SAINT-ANDRE|59|527||BD|135||||||||||||0|3|Dépendance|1063791|0|0|S||25
5914P01|2015P01453|1594D*1|||||000001|01/01/2001|Vente|1,00|270||RUE|0410|DU GENERAL LECLERC|59350|SAINT-ANDRE|59|527||BD|135||||||||||||0|3|Dépendance|1130820|0|0|S||25
5914P01|2015P01454|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||CHE|0538|DU PETIT PARADIS|59118|WAMBRECHIES|59|636||B|6848||13||||||||||1||||||||
5914P01|2015P01454|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||CHE|0538|DU PETIT PARADIS|59118|WAMBRECHIES|59|636||B|6848||206||||||||||1||||||||
5914P01|2015P01458|1594D*1|||||000001|01/01/2001|Vente|1,00|10||RUE|0530|LAMARTINE|59790|RONCHIN|59|507||A|5053||||||||||||0|1|Maison|572555|88|5|S||232
5914P01|2015P01459||||||000001|01/01/2001|Vente|1,00|151||RUE|7519|DE RIVOLI|59800|LILLE|59|350||BK|37||||||||||||0|4|Local industriel. commercial ou assimilé|317654|90|0|S||220
5914P01|2015P01459||||||000001|01/01/2001|Vente|1,00|151||RUE|7519|DE RIVOLI|59800|LILLE|59|350||BK|37||||||||||||0|3|Dépendance|1042149|0|0|S||220
5914P01|2015P01461|1594D*1|||||000001|01/01/2001|Vente|1,00|1|B|RUE|0300|JEANNE D ARC|59260|LEZENNES|59|346||AC|415||||||||||||0|1|Maison|72044|60|4|S||170
5914P01|2015P01463||||||000002|01/01/2001|Echange|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|479||||||||||||0||||||S||1
5914P01|2015P01463||||||000003|01/01/2001|Echange|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|481||||||||||||0||||||S||7
5914P01|2015P01464|1594D*1|||||000001|01/01/2001|Vente|1,00|156||RUE|2774|DE DOUAI|59000|LILLE|59|350||MP|222||22||35||||||||2|2|Appartement|800642|46|2|||
5914P01|2015P01465|1594D*1|||||000001|01/01/2001|Vente|1,00|9001||ALL|7584|ROMAIN ROLLAND|59260|LILLE|59|350|298|AN|1036||142||192||||||||2|2|Appartement|438289|84|5|||
5914P01|2015P01466|1594D*1|||||000001|01/01/2001|Vente|1,00|34||RUE|0430|GEORGES CLEMENCEAU|59350|SAINT-ANDRE|59|527||A|2347||||||||||||0|1|Maison|863588|77|5|S||165
5914P01|2015P01472|1594D*1|||||000001|01/01/2001|Vente|1,00|9001||RUE|0020|DES ACACIAS|59118|WAMBRECHIES|59|636||B|2217||||||||||||0|3|Dépendance|741565|0|0|S||16
5914P01|2015P01473|1594D*1|||||000001|01/01/2001|Vente|1,00|37||RUE|0035|ALFRED DE MUSSET|59790|RONCHIN|59|507||AH|350||||||||||||0|1|Maison|575606|92|5|S||289
5914P01|2015P01475|1049*1|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|9000||RUE|1095|PIERRE DE COUBERTIN|59130|LAMBERSART|59|328||AH|1421||24||||||||||1|3|Dépendance|1213584|0|0|||
5914P01|2015P01475|1049*1|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|9000||RUE|1095|PIERRE DE COUBERTIN|59130|LAMBERSART|59|328||AH|1421||8||||||||||1|2|Appartement|1213574|48|2|||
5914P01|2015P01477|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|8984|VAUCANSON|59800|LILLE|59|350||CI|219||1353||||||||||1||||||||
5914P01|2015P01477|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|8984|VAUCANSON|59800|LILLE|59|350||CI|219||1201||||||||||1||||||||
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056794|20|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056790|23|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056768|21|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056779|18|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056785|24|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056771|17|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056812|18|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056775|19|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056802|23|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056798|15|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056807|22|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|477||||||||||||0|2|Appartement|1056782|19|1|S||299
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|478|1|||||||||||0||||||||
5914P01|2015P01478|1594D*1|||||000001|01/01/2001|Vente|1,00|554||AV|0440|JEAN JAURES|59790|RONCHIN|59|507||AB|481||||||||||||0||||||S||7
5914P01|2015P01479|1594D*1|||||000001|01/01/2001|Vente|1,00|24||RUE|0380|MAURICE THOREZ|59260|LEZENNES|59|346||AB|507||||||||||||0||||||AG||4
5914P01|2015P01479|1594D*1|||||000001|01/01/2001|Vente|1,00|24||RUE|0380|MAURICE THOREZ|59260|LEZENNES|59|346||AB|508||||||||||||0|1|Maison|72167|99|5|S||160
5914P01|2015P01479|1594D*1|||||000001|01/01/2001|Vente|1,00|9007||RUE|0380|MAURICE THOREZ|59260|LEZENNES|59|346||AB|517||||||||||||0|3|Dépendance|72182|0|0|S||17
5914P01|2015P01479|1594D*1|||||000001|01/01/2001|Vente|1,00|||RUE|0380|MAURICE THOREZ|59260|LEZENNES|59|346||AB|522||||||||||||0||||||S||2
5914P01|2015P01481|1594D*1|||||000001|01/01/2001|Vente|1,00|33||RUE|2974|EDOUARD DELESALLE|59800|LILLE|59|350||TL|63||8||||||||||1|2|Appartement|354458|60|2|||
5914P01|2015P01482|1594D*1|||||000001|01/01/2001|Vente|1,00|70|B|RUE|4274|GUSTAVE DELORY|59800|LILLE|59|350||TO|2||104||||||||||1|3|Dépendance|357864|0|0|||
5914P01|2015P01482|1594D*1|||||000001|01/01/2001|Vente|1,00|72||RUE|4274|GUSTAVE DELORY|59800|LILLE|59|350||TO|3||23||65||||||||2|2|Appartement|357496|46|2|||
5914P01|2015P01483|1594D*1|||||000001|01/01/2001|Vente|1,00|54||RUE|7059|DES PONTS DE COMINES|59800|LILLE|59|350||HR|8||3||||||||||1|4|Local industriel. commercial ou assimilé|862440|21|0|||
5914P01|2015P01483|1594D*1|||||000001|01/01/2001|Vente|1,00|54||RUE|7059|DES PONTS DE COMINES|59800|LILLE|59|350||HR|8||1||2||||||||2|4|Local industriel. commercial ou assimilé|826140|85|0|||
5914P01|2015P01484|1594D*1|||||000001|01/01/2001|Vente|1,00|5||BD|2211|DEFENSEURS DE LILLE|59000|LILLE|59|350||IL|41||6||||||||||1|2|Appartement|362497|71|4|||
5914P01|2015P01486|1049*1|1594FQA*1||||000001|01/01/2001|Vente|1,00|3||PL|0817|JEAN MOULIN|59110|LA MADELEINE|59|368||AO|146||17||||||||||1|2|Appartement|1150497|74|3|||
5914P01|2015P01486|1049*1|1594FQA*1||||000001|01/01/2001|Vente|1,00|1||PL|0817|JEAN MOULIN|59110|LA MADELEINE|59|368||AO|146||41||||||||||1|3|Dépendance|1150535|0|0|||
5914P01|2015P01487|1594D*1|||||000001|01/01/2001|Vente|1,00|112||RUE|7649|ROYALE|59800|LILLE|59|350||HI|182||12||16||||||||2|2|Appartement|349056|60|3|||
5914P01|2015P01489|1594D*1|||||000001|01/01/2001|Vente|1,00|16||AV|0390|FOCH|59370|MONS EN BAROEUL|59|410||AN|459||||||||||||0|1|Maison|526115|145|3|S||322
5914P01|2015P01492|1594D*1|||||000001|01/01/2001|Vente|1,00|11||RUE|0296|D ANGLETERRE|59800|LILLE|59|350||KZ|402||12||13||3||4||||4|2|Appartement|983984|73|3|||
5914P01|2015P01493|1594D*1|||||000001|01/01/2001|Vente|1,00|3|B|RUE|4164|DE LA GRANDE BRASSERIE|59000|LILLE|59|350||IY|304||3120||||||||||1|3|Dépendance|918978|0|0|||
5914P01|2015P01495|1594OGA|||||000001|01/01/2001|Vente|1,00|2||RUE|0910|LAVOISIER|59110|LA MADELEINE|59|368||AB|573||||||||||||0||||||S||1775
5914P01|2015P01495|1594OGA|||||000001|01/01/2001|Vente|1,00|||RUE|0910|LAVOISIER|59110|LA MADELEINE|59|368||AB|576||||||||||||0||||||S||20
5914P01|2015P01495|1594OGA|||||000001|01/01/2001|Vente|1,00|2|A|RUE|0910|LAVOISIER|59110|LA MADELEINE|59|368||AB|577||||||||||||0||||||S||206
5914P01|2015P01497|1594D*1|||||000001|01/01/2001|Vente|1,00|5|T|BD|5726|LOUIS 14|59800|LILLE|59|350||HW|51||32||59||||||||2|2|Appartement|906523|82|3|||
5914P01|2015P01497|1594D*1|||||000001|01/01/2001|Vente|1,00|5|T|BD|5726|LOUIS 14|59800|LILLE|59|350||HW|51||6||||||||||1|3|Dépendance|906693|0|0|||
5914P01|2015P01498|1594D*1|||||000001|01/01/2001|Vente|1,00|15||RUE|8039|ST PIERRE ST PAUL|59000|LILLE|59|350||SX|119||6||||||||||1|2|Appartement|1002481|25|1|||
5914P01|2015P01500|1594D*1|||||000001|01/01/2001|Vente|1,00|168||AV|0600|DE L HIPPODROME|59130|LAMBERSART|59|328||AX|131||||||||||||0|1|Maison|289635|122|5|S||166
5914P01|2015P01501|1594D*1|||||000001|01/01/2001|Vente|1,00|37||AV|0341|ARCHITECTE CORDONNIER|59800|LILLE|59|350||KO|70||105||||||||||1|3|Dépendance|371144|0|0|||
5914P01|2015P01501|1594D*1|||||000001|01/01/2001|Vente|1,00|37||AV|0341|ARCHITECTE CORDONNIER|59800|LILLE|59|350||KO|70||5||||||||||1|2|Appartement|371174|34|2|||
5914P01|2015P01502|1594D*1|||||000001|01/01/2001|Vente|1,00|64||RUE|4333|DE LA HALLE|59800|LILLE|59|350||HK|242||574||||||||||1|3|Dépendance|947225|0|0|||
5914P01|2015P01502|1594D*1|||||000001|01/01/2001|Vente|1,00|58||RUE|4333|DE LA HALLE|59800|LILLE|59|350||HK|242||57||9|1,00|||||||2|2|Appartement|946443|35|2|||
5914P01|2015P01503|1594D*1|||||000001|01/01/2001|Vente|1,00|163||RUE|0780|DE LILLE|59130|LAMBERSART|59|328||BE|971||203||||||||||1|3|Dépendance|949107|0|0|||
5914P01|2015P01503|1594D*1|||||000001|01/01/2001|Vente|1,00|163||RUE|0780|DE LILLE|59130|LAMBERSART|59|328||BE|971||152||||||||||1|3|Dépendance|949044|0|0|||
5914P01|2015P01503|1594D*1|||||000001|01/01/2001|Vente|1,00|163||RUE|0780|DE LILLE|59130|LAMBERSART|59|328||BE|971||3||||||||||1|2|Appartement|948540|65|3|||
5914P01|2015P01504||||||000001|01/01/2001|Vente|1,00|36||RUE|6368|NEGRIER|59800|LILLE|59|350||KX|37||||||||||||0|1|Maison|375346|265|7|S||422
5914P01|2015P01505|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|2||RUE|0301|D ANTIN|59800|LILLE|59|350||PY|317||1601||||||||||1||||||||
5914P01|2015P01505|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|2||RUE|0301|D ANTIN|59800|LILLE|59|350||PY|317||1972||||||||||1||||||||
5914P01|2015P01507|1594D*1|||||000001|01/01/2001|Vente|1,00|68||RUE|6015|MAURICE BERTEAUX|59260|LILLE|59|350|298|AO|430||||||||||||0|1|Maison|439910|100|4|S||220
5914P01|2015P01509|1594D*1|||||000001|01/01/2001|Vente|1,00|21||RUE|0690|GAY LUSSAC|59110|LA MADELEINE|59|368||BD|73||147||66||||||||2|2|Appartement|488002|33|1|||
5914P01|2015P01509|1594D*1|||||000001|01/01/2001|Vente|1,00|21||RUE|0690|GAY LUSSAC|59110|LA MADELEINE|59|368||BD|73||373||||||||||1|3|Dépendance|488038|0|0|||
5914P01|2015P01511|1594D*1|||||000001|01/01/2001|Vente|1,00|21||PL|5905|DU MARECHAL LECLERC|59800|LILLE|59|350||NR|118||11||||||||||1|2|Appartement|396716|93|3|||
5914P01|2015P01512|1594D*1|||||000001|01/01/2001|Vente|1,00|53||AV|0960|RENE COTY|59370|MONS EN BAROEUL|59|410||AK|225||||||||||||0|1|Maison|535520|81|5|S||264
5914P01|2015P01512|1594D*1|||||000002|01/01/2001|Vente|1,00|53||AV|0960|RENE COTY|59370|MONS EN BAROEUL|59|410||AK|225||||||||||||0|1|Maison|535520|81|5|S||264
5914P01|2015P01517|1594D*1|||||000001|01/01/2001|Vente|1,00|4||AV|1170|DE LA REPUBLIQUE|59130|LAMBERSART|59|328||AY|117||148||||||||||1|3|Dépendance|290137|0|0|||
5914P01|2015P01517|1594D*1|||||000001|01/01/2001|Vente|1,00|4||AV|1170|DE LA REPUBLIQUE|59130|LAMBERSART|59|328||AY|117||12|1,00|65||||||||2|2|Appartement|290073|89|4|||
5914P01|2015P01519||||||000001|01/01/2001|Vente|1,00|1||RUE|6634|PASCAL|59800|LILLE|59|350||BM|35||||||||||||0|1|Maison|318943|72|3|S||41
5914P01|2015P01520|1594D*1|||||000001|01/01/2001|Vente|1,00|61||RUE|3749|GANTOIS|59000|LILLE|59|350||OT|352||3|1,00|||||||||1|2|Appartement|892186|48|2|||
5914P01|2015P01523|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|87||RUE|6924|DE LA PLAINE|59000|LILLE|59|350||OW|140||105||||||||||1||||||||
5914P01|2015P01526|1594D*1|||||000001|01/01/2001|Vente|1,00||||B003|LA CROISETTE|59155|FACHES THUMESNIL|59|220||A|4635||||||||||||0||||||S||17
5914P01|2015P01526|1594D*1|||||000001|01/01/2001|Vente|1,00|190||RUE|0600|D HAUBOURDIN|59155|FACHES THUMESNIL|59|220||A|4636||||||||||||0|1|Maison|201830|110|5|S||204
5914P01|2015P01529|1594D*1|||||000001|01/01/2001|Vente|1,00|14||RUE|5852|MARACCI|59800|LILLE|59|350||HL|217||85||||||||||1|2|Appartement|962654|29|1|||
5914P01|2015P01533|1594D*1|||||000001|01/01/2001|Vente|1,00|28||RUE|0420|EMILE ZOLA|59155|FACHES THUMESNIL|59|220||AH|101||||||||||||0|1|Maison|1188594|138|5|S||220
5914P01|2015P01533|1594D*1|||||000001|01/01/2001|Vente|1,00|64||RUE|0420|EMILE ZOLA|59155|FACHES THUMESNIL|59|220||AH|252||||||||||||0|3|Dépendance|872494|0|0|S||20
5914P01|2015P01534|1594D*1|||||000001|01/01/2001|Vente|1,00|18||RUE|5710|LOUIS FAURE|59000|LILLE|59|350||ST|68||1||||||||||1|2|Appartement|909692|81|3|||
5914P01|2015P01535|1594D*1|||||000001|01/01/2001|Vente|1,00|27||AV|0321|DU COLISEE|59130|LAMBERSART|59|328||AW|147||||||||||||0|1|Maison|288600|79|5|S||171
5914P01|2015P01536|1594D*1|||||000001|01/01/2001|Vente|1,00|3||PL|8249|SEBASTOPOL|59000|LILLE|59|350||RW|38||6||||||||||1|2|Appartement|954607|19|1|||
5914P01|2015P01537|1594D*1|||||000001|01/01/2001|Vente|1,00|108||RUE|0540|FAIDHERBE|59110|LA MADELEINE|59|368||BB|1||1|1,00|||||||||1|2|Appartement|922262|65|3|||
5914P01|2015P01538|1594D*1|||||000001|01/01/2001|Vente|1,00|37||RUE|5981|MASSENA|59800|LILLE|59|350||NZ|297||4||||||||||1|2|Appartement|1174838|21|1|||
5914P01|2015P01540|1594D*1|||||000001|01/01/2001|Vente|1,00|74|B|RUE|1046|BOUCHER DE PERTHES|59800|LILLE|59|350||NW|201||2||||||||||1|2|Appartement|942511|29|2|||
5914P01|2015P01542|1594D*1|||||000001|01/01/2001|Vente|1,00|10||COUR|2168|DEBOUT 11 13 RUE BAUDIN|59000|LILLE|59|350||DR|141||||||||||||0|1|Maison|337584|32|1|S||44
5914P01|2015P01545|1594D*1|||||000001|01/01/2001|Vente|1,00|18||RUE|1336|CASIMIR DELAVIGNE|59000|LILLE|59|350||IW|68||||||||||||0|1|Maison|366949|130|5|S||182
5914P01|2015P01549|1594FQA*1|||||000001|01/01/2001|Vente|1,00|6||RUE|0544|DES PIQURIERES|59118|WAMBRECHIES|59|636||B|741||16||||||||||1|2|Appartement|1172317|90|3|||
5914P01|2015P01549|1594FQA*1|||||000001|01/01/2001|Vente|1,00|6||RUE|0544|DES PIQURIERES|59118|WAMBRECHIES|59|636||B|741||177||||||||||1|3|Dépendance|1172644|0|0|||
5914P01|2015P01549|1594FQA*1|||||000001|01/01/2001|Vente|1,00|6||RUE|0544|DES PIQURIERES|59118|WAMBRECHIES|59|636||B|741||178||||||||||1|3|Dépendance|1172536|0|0|||
5914P01|2015P01551|1594D*1|||||000001|01/01/2001|Vente|1,00|39||RUE|6394|NICOLAS LEBLANC|59000|LILLE|59|350||OR|148||57||||||||||1|2|Appartement|404649|57|2|||
5914P01|2015P01552|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||||||LILLE|59|350||BP|276||1047||||||||||1||||||||
5914P01|2015P01553|1594D*1|||||000001|01/01/2001|Vente|1,00|8|B|RUE|3118|DE L ENTREPOT|59800|LILLE|59|350||HM|127||10||8||||||||2|2|Appartement|956070|29|1|||
5914P01|2015P01554|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|0520|OBERT|59118|WAMBRECHIES|59|636||B|4173||15||||||||||1||||||||
5914P01|2015P01554|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|0520|OBERT|59118|WAMBRECHIES|59|636||B|4173||17||||||||||1||||||||
5914P01|2015P01554|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RUE|0520|OBERT|59118|WAMBRECHIES|59|636||B|4173||33||||||||||1||||||||
5914P01|2015P01557|1594D*1|||||000001|01/01/2001|Vente|1,00|20||RUE|3076|EMILE BOREL|59000|LILLE|59|350||VE|89||||||||||||0|1|Maison|430434|54|2|S||178
5914P01|2015P01558|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RTE|0060|D ARRAS|59155|FACHES THUMESNIL|59|220||A|7207||122||||||||||1||||||||
5914P01|2015P01558|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RTE|0060|D ARRAS|59155|FACHES THUMESNIL|59|220||A|7207||66||||||||||1||||||||
5914P01|2015P01558|1594FQA*2|||||000001|01/01/2001|Vente en l'état futur d'achèvement|1,00|||RTE|0060|D ARRAS|59155|FACHES THUMESNIL|59|220||A|7207||67||||||||||1||||||||
5914P01|2015P01559|1594D*1|||||000001|01/01/2001|Vente|1,00|25||RUE|0142|DE L ALCAZAR|59800|LILLE|59|350||TZ|150||||||||||||0|1|Maison|896817|80|4|S||122
5914P01|2015P01560|1594D*1|||||000001|01/01/2001|Vente|1,00|30||RUE|0320|DE LA CONCORDE|59110|LA MADELEINE|59|368||AD|145||||||||||||0|1|Maison|481525|102|4|S||146
5914P01|2015P01561|1594D*1|||||000001|01/01/2001|Vente|1,00|58||RUE|1130|DE LA PAIX|59110|LA MADELEINE|59|368||AC|318||||||||||||0|1|Maison|479891|56|3|S||38
